VALUE	ABB	AVL
218746804	27	15
231106831	37	16
1109549898	38	17
2097647419	32	15
2119090367	36	16
1322638762	35	16
947642132	40	17
1611526430	43	16
640324331	37	16
872267969	40	16
727709160	39	18
1268096489	38	15
581946369	36	16
1416904413	38	15
1252994468	33	14
1076836127	40	19
164841002	35	15
2060324978	36	16
1673529366	33	16
661325618	33	18
703452314	39	16
2039291641	29	16
1086745188	45	18
1329932897	36	16
2115789698	37	16
1290765648	34	15
653376311	35	17
784849312	34	17
1906170343	38	16
941158047	33	16
501480838	34	16
2124917147	31	17
1172264879	35	16
1611030736	41	16
2075080919	37	16
1143871598	34	18
786185851	35	18
875239403	42	16
607914381	32	16
1426510182	37	16
1747507372	35	16
1335623541	35	16
547123023	41	17
181970093	40	16
605044306	36	16
1800117491	33	16
1258806220	38	15
769885308	33	17
1712958821	34	15
784851938	32	17
1431210926	39	17
268927487	43	15
676659931	41	18
370472466	44	17
1598860385	43	16
644965981	39	16
1661238114	28	15
104753048	39	17
1429815293	40	15
1419924810	39	15
1045911095	37	17
1931296132	31	15
1397358309	37	16
70692326	34	16
1394843220	45	16
1324955580	38	15
1214563925	46	17
33545423	34	16
52711335	41	16
1822478306	32	17
1460055605	42	17
1800218707	33	15
1010618199	32	17
2007178629	31	16
1982188800	34	16
1615662505	41	15
1659812472	29	15
1093511372	39	17
238064165	41	16
1225287646	51	16
1878363310	36	17
1669275091	38	17
1494215133	42	18
407539593	39	16
2039747558	28	16
945591870	35	17
1052505574	41	18
1553502024	42	16
1050344918	42	18
334837220	36	17
825943186	35	15
2096256014	32	16
118649704	42	16
75817848	39	17
19464692	32	16
1513492924	45	17
1400773428	42	15
1234028617	39	17
1547038348	36	16
1453484764	44	18
909023275	44	16
859610305	30	17
1106219823	35	18
1919641474	32	15
719305286	32	16
940924976	32	15
1387820331	40	17
231634111	36	15
2034436348	39	17
1625884496	42	16
1456921757	47	18
1765316011	38	15
1147675940	44	17
803653242	32	18
25371956	36	15
1039939850	41	18
1749245113	35	16
1077877531	41	17
445958226	32	15
652106383	40	16
1412714751	43	16
1271901413	35	15
600878749	31	15
1531364455	39	16
1347719261	33	16
620343442	31	16
897373731	36	16
601009041	33	15
1854372059	38	16
296928431	33	16
2054493805	33	16
615911687	38	16
1156538737	37	16
1013229981	35	16
388069513	36	16
1875844023	32	16
1954154957	31	17
1775889845	36	16
2107478134	30	15
1841107657	33	17
1254290693	36	15
1416916243	37	15
1458940020	44	17
254482985	41	15
73085838	41	18
1484311977	43	16
1294422835	39	16
1822330951	34	17
414705860	33	16
1740381062	38	15
326953686	30	16
1827420611	33	17
864798827	41	17
927832436	37	17
1211301418	40	17
65034440	41	16
1548175878	33	17
2108675149	33	15
666043481	38	17
1255064289	35	16
258119933	36	14
573053639	30	17
1870975976	40	16
1414658670	32	15
1586283620	35	16
111561842	34	15
1143019045	32	17
1392954929	42	15
1887451687	35	15
1103013532	34	16
1086578938	45	18
994258732	37	16
372446127	38	15
398035311	34	16
1248741718	43	16
445531965	35	17
1882347288	38	14
395680905	34	15
120379268	39	16
149569500	37	16
2136061967	37	17
447332955	35	15
1976990111	33	15
853377146	42	17
1375165391	38	15
1040807881	38	17
918411586	38	16
775857621	34	17
1001999382	43	17
1584455068	40	16
2030921910	35	16
1260119315	34	15
10025059	31	16
1754414239	42	16
527294337	35	16
1596308679	43	14
1865976081	35	15
1670313383	29	15
841779960	35	16
1605944120	38	15
625843267	34	17
1928358898	31	17
452719204	33	15
998289394	40	17
178910561	42	15
1701460922	30	15
1443821360	45	16
2061257849	42	16
2097141828	34	16
1564200628	38	16
63343701	41	15
2085720147	29	16
2011533583	36	17
2040333812	28	17
791613646	34	18
1239215326	38	16
933658045	35	17
1710025232	36	16
2015072947	38	17
1935657428	33	15
1146996652	42	17
1898511210	35	16
1048293095	41	19
1157021711	42	19
1505441801	44	17
1575587433	45	16
605846742	35	16
1223934234	47	16
1098417168	34	15
1447626702	37	15
682394706	40	17
1724260435	37	16
1228501953	45	15
1135113910	38	18
575066181	43	17
1407412514	42	16
689091185	37	17
2018887541	39	15
1321186716	34	16
638749365	35	16
1435604522	45	15
1384530417	40	16
576985864	37	16
1299654457	38	14
1277380582	31	15
1368599510	33	16
391386136	40	16
63554979	43	15
931141095	39	17
258975435	41	16
1999212407	35	16
2078137747	30	15
10002997	31	16
900021855	38	17
1087675811	44	16
1515444798	40	16
328125640	30	15
1693522553	33	16
591895384	32	17
1426542808	38	16
993665608	36	15
1274290090	36	16
1003319595	42	17
74683913	39	17
261920353	38	14
1578385776	37	15
1482096427	42	17
951011538	37	17
1449789670	43	16
655799495	34	17
1589760903	39	15
737910544	36	17
2040329913	30	16
19263119	34	16
2037565001	33	17
1170226847	38	16
1387862630	38	16
281467489	34	16
1233781826	45	16
171520077	41	16
540442925	37	16
1085510586	44	18
102174176	45	17
550445922	35	16
1985532441	34	17
1189849987	32	17
2065890721	39	15
166174433	37	15
735888893	43	18
510302457	40	16
1592717241	46	16
1729554501	34	17
1784592548	33	18
448553188	41	16
1804238414	28	17
2046512901	36	16
2026938964	30	16
1138851193	39	18
850040791	37	16
1329244986	33	16
1794650689	34	16
292318046	28	16
2067155530	35	14
1687496954	28	16
311581165	29	16
1957236884	28	16
710240153	35	18
1699443795	37	15
91220725	45	15
1944021979	30	16
1870963872	38	15
631663650	29	16
882048917	38	16
1973138049	35	15
1182109573	38	19
720097710	34	17
1015504388	38	16
1100516646	35	16
886272143	38	16
1751393281	36	15
1610819103	40	16
331505736	32	16
1333464134	39	16
1247928003	40	16
780058924	37	17
990218900	34	16
1146957256	42	16
659514241	36	17
2129070094	37	17
1996998047	39	17
1988759227	34	16
1776237135	34	16
141832445	38	15
1908431110	34	16
1316250441	35	16
453413611	35	16
1718184346	31	17
2026490594	34	15
5373758	32	16
1809405071	34	17
1823028925	28	17
1876337631	37	16
293585074	35	16
557594195	38	16
1701992032	31	14
